DATAFLOW,FREQ: Frequency,GEO: Geographical Region,AGE: Age Group,SEX: Sex,TIME_PERIOD: Time Period,OBS_VALUE,CONF_STATUS: Confidentiality Status,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y45T49: 45 - 49 years,T: Total,2021,35531,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y45T49: 45 - 49 years,T: Total,2022,37457,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y45T49: 45 - 49 years,T: Total,2023,39339,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,_T: Total,F: Females,2018,240787,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,_T: Total,F: Females,2019,248296,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,_T: Total,F: Females,2020,248511,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,_T: Total,F: Females,2021,249705,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,_T: Total,F: Females,2022,257230,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,_T: Total,F: Females,2023,264697,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y10T14: 10 - 14 years,M: Males,2018,11174,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y10T14: 10 - 14 years,M: Males,2019,11467,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y10T14: 10 - 14 years,M: Males,2020,11484,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y10T14: 10 - 14 years,M: Males,2021,11650,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y10T14: 10 - 14 years,M: Males,2022,11915,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y10T14: 10 - 14 years,M: Males,2023,12008,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y10T14: 10 - 14 years,F: Females,2018,10309,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y10T14: 10 - 14 years,F: Females,2019,10606,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y10T14: 10 - 14 years,F: Females,2020,10666,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y10T14: 10 - 14 years,F: Females,2021,10927,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y10T14: 10 - 14 years,F: Females,2022,11272,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y10T14: 10 - 14 years,F: Females,2023,11285,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y20T24: 20 - 24 years,T: Total,2018,31208,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y20T24: 20 - 24 years,T: Total,2019,32284,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y20T24: 20 - 24 years,T: Total,2020,30736,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y20T24: 20 - 24 years,T: Total,2021,29447,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y20T24: 20 - 24 years,T: Total,2022,30742,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y20T24: 20 - 24 years,T: Total,2023,31883,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y85T89: 85 - 89 years,M: Males,2018,2104,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y85T89: 85 - 89 years,M: Males,2019,2244,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y85T89: 85 - 89 years,M: Males,2020,2400,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y85T89: 85 - 89 years,M: Males,2021,2568,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y85T89: 85 - 89 years,M: Males,2022,2725,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y85T89: 85 - 89 years,M: Males,2023,2850,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y85T89: 85 - 89 years,F: Females,2018,4066,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y85T89: 85 - 89 years,F: Females,2019,4184,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y85T89: 85 - 89 years,F: Females,2020,4325,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y85T89: 85 - 89 years,F: Females,2021,4418,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y85T89: 85 - 89 years,F: Females,2022,4518,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y85T89: 85 - 89 years,F: Females,2023,4640,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y_GE100: 100 years and over,T: Total,2018,44,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y_GE100: 100 years and over,T: Total,2019,60,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y_GE100: 100 years and over,T: Total,2020,58,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y_GE100: 100 years and over,T: Total,2021,56,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y_GE100: 100 years and over,T: Total,2022,54,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y_GE100: 100 years and over,T: Total,2023,64,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y0T4: 0 - 4 years,T: Total,2018,21125,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y0T4: 0 - 4 years,T: Total,2019,21408,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y0T4: 0 - 4 years,T: Total,2020,21062,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y0T4: 0 - 4 years,T: Total,2021,20689,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y0T4: 0 - 4 years,T: Total,2022,20914,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y0T4: 0 - 4 years,T: Total,2023,20805,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y_GE65: 65 years and over,M: Males,2018,37680,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y_GE65: 65 years and over,M: Males,2019,38915,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y_GE65: 65 years and over,M: Males,2020,40000,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y_GE65: 65 years and over,M: Males,2021,41172,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y_GE65: 65 years and over,M: Males,2022,42518,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y_GE65: 65 years and over,M: Males,2023,43733,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y_GE65: 65 years and over,F: Females,2018,44905,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y_GE65: 65 years and over,F: Females,2019,46042,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y_GE65: 65 years and over,F: Females,2020,46966,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y_GE65: 65 years and over,F: Females,2021,48067,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y_GE65: 65 years and over,F: Females,2022,49346,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y_GE65: 65 years and over,F: Females,2023,50502,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y75T79: 75 - 79 years,T: Total,2018,12809,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y75T79: 75 - 79 years,T: Total,2019,14595,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y75T79: 75 - 79 years,T: Total,2020,16255,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y75T79: 75 - 79 years,T: Total,2021,18483,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y75T79: 75 - 79 years,T: Total,2022,20968,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y75T79: 75 - 79 years,T: Total,2023,22623,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y80T84: 80 - 84 years,M: Males,2018,4292,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y80T84: 80 - 84 years,M: Males,2019,4451,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y80T84: 80 - 84 years,M: Males,2020,4417,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y80T84: 80 - 84 years,M: Males,2021,4242,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y80T84: 80 - 84 years,M: Males,2022,4142,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT001: Malta,Y80T84: 80 - 84 years,M: Males,2023,4359,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y40T44: 40 - 44 years,F: Females,2018,1039,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y40T44: 40 - 44 years,F: Females,2019,1081,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y40T44: 40 - 44 years,F: Females,2020,1107,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y40T44: 40 - 44 years,F: Females,2021,1136,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y40T44: 40 - 44 years,F: Females,2022,1187,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y40T44: 40 - 44 years,F: Females,2023,1255,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y55T59: 55 - 59 years,T: Total,2018,2734,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y55T59: 55 - 59 years,T: Total,2019,2794,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y55T59: 55 - 59 years,T: Total,2020,2746,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y55T59: 55 - 59 years,T: Total,2021,2732,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y55T59: 55 - 59 years,T: Total,2022,2600,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y55T59: 55 - 59 years,T: Total,2023,2481,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y60T64: 60 - 64 years,M: Males,2018,1293,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y60T64: 60 - 64 years,M: Males,2019,1365,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y60T64: 60 - 64 years,M: Males,2020,1384,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y60T64: 60 - 64 years,M: Males,2021,1456,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y60T64: 60 - 64 years,M: Males,2022,1487,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT002: Gozo,Y60T64: 60 - 64 years,M: Males,2023,1491,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y0T14: 0 - 14 years,M: Males,2018,34528,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y0T14: 0 - 14 years,M: Males,2019,35282,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y0T14: 0 - 14 years,M: Males,2020,35245,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y0T14: 0 - 14 years,M: Males,2021,35171,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y0T14: 0 - 14 years,M: Males,2022,35684,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y0T14: 0 - 14 years,M: Males,2023,35884,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y50T54: 50 - 54 years,T: Total,2018,28250,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y50T54: 50 - 54 years,T: Total,2019,28734,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y50T54: 50 - 54 years,T: Total,2020,28929,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y50T54: 50 - 54 years,T: Total,2021,29727,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y50T54: 50 - 54 years,T: Total,2022,31153,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y50T54: 50 - 54 years,T: Total,2023,32257,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y70T74: 70 - 74 years,M: Males,2018,13275,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y70T74: 70 - 74 years,M: Males,2019,13417,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y70T74: 70 - 74 years,M: Males,2020,13609,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y70T74: 70 - 74 years,M: Males,2021,13449,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y70T74: 70 - 74 years,M: Males,2022,13253,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y70T74: 70 - 74 years,M: Males,2023,13022,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y15T64: 15 - 64 years,M: Males,2018,176345,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y15T64: 15 - 64 years,M: Males,2019,188545,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y15T64: 15 - 64 years,M: Males,2020,188502,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y15T64: 15 - 64 years,M: Males,2021,190048,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y15T64: 15 - 64 years,M: Males,2022,202442,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y15T64: 15 - 64 years,M: Males,2023,214812,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y50T54: 50 - 54 years,F: Females,2018,13728,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y50T54: 50 - 54 years,F: Females,2019,13788,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y50T54: 50 - 54 years,F: Females,2020,13812,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y50T54: 50 - 54 years,F: Females,2021,14166,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y50T54: 50 - 54 years,F: Females,2022,14718,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y50T54: 50 - 54 years,F: Females,2023,15205,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y90T94: 90 - 94 years,M: Males,2018,716,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y90T94: 90 - 94 years,M: Males,2019,720,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y90T94: 90 - 94 years,M: Males,2020,741,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y90T94: 90 - 94 years,M: Males,2021,797,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y90T94: 90 - 94 years,M: Males,2022,821,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y90T94: 90 - 94 years,M: Males,2023,870,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y5T9: 5 - 9 years,T: Total,2018,22552,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y5T9: 5 - 9 years,T: Total,2019,22934,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y5T9: 5 - 9 years,T: Total,2020,23083,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y5T9: 5 - 9 years,T: Total,2021,23032,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y5T9: 5 - 9 years,T: Total,2022,23281,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y5T9: 5 - 9 years,T: Total,2023,23766,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y25T29: 25 - 29 years,M: Males,2018,22098,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y25T29: 25 - 29 years,M: Males,2019,24317,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y25T29: 25 - 29 years,M: Males,2020,23993,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y25T29: 25 - 29 years,M: Males,2021,23957,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y25T29: 25 - 29 years,M: Males,2022,26800,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y25T29: 25 - 29 years,M: Males,2023,29844,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y40T44: 40 - 44 years,T: Total,2018,36106,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y40T44: 40 - 44 years,T: Total,2019,38868,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y40T44: 40 - 44 years,T: Total,2020,39723,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y40T44: 40 - 44 years,T: Total,2021,40440,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y40T44: 40 - 44 years,T: Total,2022,43183,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y40T44: 40 - 44 years,T: Total,2023,45652,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y45T49: 45 - 49 years,M: Males,2018,15863,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y45T49: 45 - 49 years,M: Males,2019,17429,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y45T49: 45 - 49 years,M: Males,2020,18220,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y45T49: 45 - 49 years,M: Males,2021,18893,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y45T49: 45 - 49 years,M: Males,2022,20116,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y45T49: 45 - 49 years,M: Males,2023,21307,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y50T54: 50 - 54 years,F: Females,2018,13728,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y50T54: 50 - 54 years,F: Females,2019,13788,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y50T54: 50 - 54 years,F: Females,2020,13812,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y50T54: 50 - 54 years,F: Females,2021,14166,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y50T54: 50 - 54 years,F: Females,2022,14718,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y50T54: 50 - 54 years,F: Females,2023,15205,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y65T69: 65 - 69 years,F: Females,2018,14328,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y65T69: 65 - 69 years,F: Females,2019,14253,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT00: Maltese Islands,Y65T69: 65 - 69 years,F: Females,2020,14100,,,
